Song,Album,Lyric,Previous Lyric,Next Lyric,Multiplicity
22,Red (Deluxe Edition),It feels like a perfect night,,To dress up like hipsters,1
22,Red (Deluxe Edition),To dress up like hipsters,It feels like a perfect night,"And make fun of our exes, uh-uh, uh-uh",1
22,Red (Deluxe Edition),"And make fun of our exes, uh-uh, uh-uh",To dress up like hipsters,It feels like a perfect night,1
22,Red (Deluxe Edition),It feels like a perfect night,"And make fun of our exes, uh-uh, uh-uh",For breakfast at midnight,1
22,Red (Deluxe Edition),For breakfast at midnight,It feels like a perfect night,"To fall in love with strangers, uh-uh, uh-uh",1
22,Red (Deluxe Edition),"To fall in love with strangers, uh-uh, uh-uh",For breakfast at midnight,,1
22,Red (Deluxe Edition),Yeah,"To fall in love with strangers, uh-uh, uh-uh","We're happy, free, confused, and lonely at the same time",1
22,Red (Deluxe Edition),"We're happy, free, confused, and lonely at the same time",Yeah,"It's miserable and magical, oh, yeah",1
22,Red (Deluxe Edition),"It's miserable and magical, oh, yeah","We're happy, free, confused, and lonely at the same time",Tonight's the night when we forget about the deadlines,1
22,Red (Deluxe Edition),Tonight's the night when we forget about the deadlines,"It's miserable and magical, oh, yeah","It's time, oh-oh",1
22,Red (Deluxe Edition),"It's time, oh-oh",Tonight's the night when we forget about the deadlines,,1
22,Red (Deluxe Edition),"I don't know about you, but I'm feeling 22","It's time, oh-oh",Everything will be alright if you keep me next to you,1
22,Red (Deluxe Edition),Everything will be alright if you keep me next to you,"I don't know about you, but I'm feeling 22","You don't know about me, but I'll bet you want to",1
22,Red (Deluxe Edition),"You don't know about me, but I'll bet you want to",Everything will be alright if you keep me next to you,Everything will be alright if we just keep dancing like we're,1
22,Red (Deluxe Edition),Everything will be alright if we just keep dancing like we're,"You don't know about me, but I'll bet you want to","22, 22",1
22,Red (Deluxe Edition),"22, 22",Everything will be alright if we just keep dancing like we're,,1
22,Red (Deluxe Edition),It seems like one of those nights,"22, 22",This place is too crowded,1
22,Red (Deluxe Edition),This place is too crowded,It seems like one of those nights,"Too many cool kids, uh-uh, uh-uh",1
22,Red (Deluxe Edition),"Too many cool kids, uh-uh, uh-uh",This place is too crowded,"(Who's Taylor Swift, anyway? Ew)",1
22,Red (Deluxe Edition),"(Who's Taylor Swift, anyway? Ew)","Too many cool kids, uh-uh, uh-uh",It seems like one of those nights,1
22,Red (Deluxe Edition),It seems like one of those nights,"(Who's Taylor Swift, anyway? Ew)",We ditch the whole scene,1
22,Red (Deluxe Edition),We ditch the whole scene,It seems like one of those nights,And end up dreaming,1
22,Red (Deluxe Edition),And end up dreaming,We ditch the whole scene,Instead of sleeping,1
22,Red (Deluxe Edition),Instead of sleeping,And end up dreaming,,1
22,Red (Deluxe Edition),Yeah,Instead of sleeping,"We're happy, free, confused, and lonely in the best way",1
22,Red (Deluxe Edition),"We're happy, free, confused, and lonely in the best way",Yeah,"It's miserable and magical, oh, yeah",1
22,Red (Deluxe Edition),"It's miserable and magical, oh, yeah","We're happy, free, confused, and lonely in the best way",Tonight's the night when we forget about the heartbreaks,1
22,Red (Deluxe Edition),Tonight's the night when we forget about the heartbreaks,"It's miserable and magical, oh, yeah","It's time, oh-oh",1
22,Red (Deluxe Edition),"It's time, oh-oh",Tonight's the night when we forget about the heartbreaks,,1
22,Red (Deluxe Edition),(Hey!),"It's time, oh-oh","I don't know about you, but I'm feeling 22",1
22,Red (Deluxe Edition),"I don't know about you, but I'm feeling 22",(Hey!),Everything will be alright (Ooh) if you keep me next to you,1
22,Red (Deluxe Edition),Everything will be alright (Ooh) if you keep me next to you,"I don't know about you, but I'm feeling 22","You don't know about me, but I'll bet you want to",1
22,Red (Deluxe Edition),"You don't know about me, but I'll bet you want to",Everything will be alright (Ooh) if you keep me next to you,Everything will be alright if (Alright),1
22,Red (Deluxe Edition),Everything will be alright if (Alright),"You don't know about me, but I'll bet you want to","We just keep dancing like we're 22 (Oh, oh, oh, oh, oh)",1
22,Red (Deluxe Edition),"We just keep dancing like we're 22 (Oh, oh, oh, oh, oh)",Everything will be alright if (Alright),22 (I don't know about you),1
